time,mean number of programs,standard deviation
0.012650337203959031,480.19217308975533,217.60484021208495
0.012708787092020588,483.14202555127633,217.35714019338462
0.012767507043192657,485.82999704628025,216.7196455531187
0.012826498305280605,488.7627909565085,216.11054876604896
0.01288576213185518,491.6338177644717,215.6192517697136
0.012945299782279153,494.87653176276433,215.41371814232033
0.013005112521734093,496.7505853217911,215.05493591259952
0.013065201621247212,499.94971275237805,214.8004596153549
0.013125568357718434,503.33855629488625,214.79944513026115
0.013186214013947485,506.8881440311863,214.88223509924984
0.013247139878661168,510.03519710171076,214.39654929518935
0.013308347246540755,513.2752621498378,214.39936583146755
0.013369837418249465,516.555805754691,214.74674430693338
0.01343161170046016,519.9038546707268,214.52515490413217
0.013493671405883065,522.3865148182492,214.3867409344316
0.013556017853293682,524.9469825029687,213.64553762278106
0.01361865236756082,528.3194083025742,213.15551434900985
0.013681576279674718,531.5149308780566,212.6533496755298
0.013744790926775373,534.9388764205275,212.75436401220594
0.013808297652180923,538.6120472847077,212.50117878080462
0.013872097805416202,542.0120606457658,212.79419314517526
0.013936192742241428,545.1851366936787,212.62619314449546
0.014000583824680975,547.9565281452499,211.862232245489
0.01406527242105237,550.8504953886738,211.0944412173918
0.014130259905995337,554.3096319300231,210.77170024512006
0.014195547660501016,558.3405484551267,210.14359836530852
0.01426113707194129,561.6139078846057,210.41352236237964
0.014327029534098309,564.5446436255668,210.02586276966028
0.014393226447194072,568.0308282386402,209.5678962615867
0.014459729217920195,571.8034333543834,209.36705856396676
0.014526539259467812,575.345641792186,209.42430611561846
0.01459365799155757,578.9404618655749,209.91616999558673
0.014661086840469845,582.348915166445,209.66550738834596
0.014728827239075025,586.3464039351719,209.66933329807313
0.014796880626863964,590.0315209219082,210.1190813555653
0.014865248449978571,593.2948192222182,210.4888996099453
0.014933932161242525,596.667175695335,210.3030009041187
0.015002933220192183,600.0105942976204,211.1467021316714
0.015072253093107562,603.4614028294875,211.96687920502353
0.01514189325304352,606.8566669825184,212.04141012108647
0.015211855179861048,610.374183448351,212.02092668477135
0.015282140360258701,614.5748459808874,212.2109891099142
0.015352750287804227,618.7923211658584,212.66365651311992
0.015423686462966282,622.548235874861,212.91415508611587
0.015494950393146316,626.4931579909695,212.79260436648167
0.01556654359271062,630.0854022584869,213.09204018788628
0.01563846758302247,633.2993143844199,212.7731130216589
0.015710723892474503,637.0529739640846,212.2728857047028
0.015783314056521173,641.1781834278793,212.17252026352054
0.015856239617711373,645.3296493366906,212.4342607701431
0.01592950212572123,649.7129154027245,212.30513875656078
0.01600310313738701,653.7453324520768,211.8515872750181
0.016077044216738237,657.9733849554078,211.9742438125617
0.016151326935030904,661.4017374021994,211.26820574186527
0.016225952870780873,665.5556582852453,210.5586180725079
0.016300923609797412,669.8709145196915,210.93235233721987
0.01637624074521688,673.9385118417417,210.71209340356125
0.016451905877536626,677.6326710150405,210.21203810594804
0.016527920614648948,681.7515001538145,210.00676511061593
0.016604286571875296,685.2891871039359,209.51294822089793
0.016681005372000592,689.4858050929001,209.57498566931824
0.016758078645307678,693.5015246863734,209.7005039626704
0.016835508029612024,697.6658614317491,209.57653681674114
0.01691329517029648,701.5695934764886,209.21411565247774
0.01699144172034626,705.4770779130747,209.04592182802932
0.01706994934038408,709.8634707050949,208.7486441635099
0.017148819698705402,713.9565506546054,208.6073529731963
0.01722805447131394,717.9368232932701,208.91092592216648
0.01730765534195725,721.738991795575,208.88841549962544
0.017387624002162504,726.7122722638439,208.90814890163335
0.017467962151272456,730.9621893587266,208.6699679373392
0.01754867149648151,735.8574641395425,208.3708924531909
0.017629753752872058,740.2215209161786,207.90938874158257
0.017711210643450877,743.8729736626948,207.15686705214614
0.017793043899185772,748.5081359800204,207.3783772614939
0.017875255259042353,752.417312271793,207.24204242159513
0.01795784647002096,756.5328368994034,207.0778452763676
0.018040819287193827,760.3788304690476,207.25206410262885
0.018124175473742368,764.3467928490018,206.91715286544306
0.018207916800994626,768.942101020332,206.93727721572193
0.01829204504846294,773.2697281250015,206.6334933720838
0.018376562003881713,777.1576902839664,206.050505204217
0.018461469463245474,780.8151437439437,205.2882791620907
0.018546769230846985,785.5567281948996,205.0365375935918
0.018632463119315597,790.5382800144023,205.00357721276436
0.01871855294965579,795.1010883153315,205.01532897587632
0.018805040551285825,799.372495467785,205.14479675231357
0.018891927762076665,804.0670510537427,205.17107526273608
0.018979216428391003,809.0862205464812,204.88999643038215
0.01906690840512252,813.3196327548728,205.9004768440029
0.01915500555573528,818.5670577976264,205.73501132780493
0.019243509752303312,823.6276781047211,206.00911838767658
